t,sat,gss
3563,1,SVA
3564,1,SVA
3565,1,SVA
3566,1,SVA
3567,1,SVA
3568,1,SVA
3569,1,SVA
3570,1,SVA
3571,1,SVA
3572,1,SVA
3573,1,SVA
3574,1,SVA
3575,1,SVA
3576,1,SVA
3577,1,SVA
3578,1,SVA
3579,1,SVA
3580,1,SVA
3581,1,SVA
3582,1,SVA
3583,1,SVA
3584,1,SVA
3585,1,SVA
3586,1,SVA
3587,1,SVA
3588,1,SVA
3589,1,SVA
3590,1,SVA
3591,1,SVA
3592,1,SVA
3593,1,SVA
3594,1,SVA
3595,1,SVA
3596,1,SVA
3597,1,SVA
3598,1,SVA
3599,1,SVA
3600,1,SVA
3601,1,SVA
3602,1,SVA
3603,1,SVA
3604,1,SVA
3605,1,SVA
3606,1,SVA
3607,1,SVA
3608,1,SVA
3609,1,SVA
3610,1,SVA
3611,1,SVA
3612,1,SVA
3613,1,SVA
3614,1,SVA
3615,1,SVA
3616,1,SVA
3617,1,SVA
3618,1,SVA
3619,1,SVA
3620,1,SVA
3621,1,SVA
3622,1,SVA
3623,1,SVA
3624,1,SVA
3625,1,SVA
3626,1,SVA
3627,1,SVA
3628,1,SVA
3629,1,SVA
3630,1,SVA
3631,1,SVA
3632,1,SVA
3633,1,SVA
3634,1,SVA
3635,1,SVA
3636,1,SVA
3637,1,SVA
3638,1,SVA
3639,1,SVA
3640,1,SVA
3641,1,SVA
3642,1,SVA
3643,1,SVA
3644,1,SVA
3645,1,SVA
3646,1,SVA
3647,1,SVA
3648,1,SVA
3649,1,SVA
3650,1,SVA
3651,1,SVA
3652,1,SVA
3653,1,SVA
3654,1,SVA
3655,1,SVA
3656,1,SVA
3657,1,SVA
3658,1,SVA
3659,1,SVA
3660,1,SVA
3661,1,SVA
3662,1,SVA
3663,1,SVA
3664,1,SVA
3665,1,SVA
3666,1,SVA
3667,1,SVA
3668,1,SVA
3669,1,SVA
3670,1,SVA
3671,1,SVA
3672,1,SVA
3673,1,SVA
3674,1,SVA
3675,1,SVA
3676,1,SVA
3677,1,SVA
3678,1,SVA
3679,1,SVA
3680,1,SVA
3681,1,SVA
3682,1,SVA
3683,1,SVA
3684,1,SVA
3685,1,SVA
3686,1,SVA
3687,1,SVA
3688,1,SVA
3689,1,SVA
3690,1,SVA
3691,1,SVA
3692,1,SVA
3693,1,SVA
3694,1,SVA
3695,1,SVA
3696,1,SVA
3697,1,SVA
3698,1,SVA
3699,1,SVA
3700,1,SVA
3701,1,SVA
3702,1,SVA
3703,1,SVA
3704,1,SVA
3705,1,SVA
3706,1,SVA
3707,1,SVA
3708,1,SVA
3709,1,SVA
3710,1,SVA
3711,1,SVA
3712,1,SVA
3713,1,SVA
3714,1,SVA
3715,1,SVA
3716,1,SVA
3717,1,SVA
3718,1,SVA
3719,1,SVA
3720,1,SVA
3721,1,SVA
3722,1,SVA
3723,1,SVA
3724,1,SVA
3725,1,SVA
3726,1,SVA
3727,1,SVA
3728,1,SVA
3729,1,SVA
3730,1,SVA
3731,1,SVA
3732,1,SVA
3733,1,SVA
3734,1,SVA
3735,1,SVA
3736,1,SVA
3737,1,SVA
3738,1,SVA
3739,1,SVA
3740,1,SVA
3741,1,SVA
3742,1,SVA
3743,1,SVA
3744,1,SVA
3745,1,SVA
3746,1,SVA
3747,1,SVA
3748,1,SVA
3749,1,SVA
3750,1,SVA
3751,1,SVA
3752,1,SVA
3753,1,SVA
3754,1,SVA
3755,1,SVA
3756,1,SVA
3757,1,SVA
3758,1,SVA
3759,1,SVA
3760,1,SVA
3761,1,SVA
3762,1,SVA
3763,1,SVA
3764,1,SVA
3765,1,SVA
3766,1,SVA
3767,1,SVA
3768,1,SVA
3769,1,SVA
3770,1,SVA
3771,1,SVA
3772,1,SVA
3773,1,SVA
3774,1,SVA
3775,1,SVA
3776,1,SVA
3777,1,SVA
3778,1,SVA
3779,1,SVA
3780,1,SVA
3781,1,SVA
3782,1,SVA
3783,1,SVA
3784,1,SVA
3785,1,SVA
3786,1,SVA
3787,1,SVA
3788,1,SVA
3789,1,SVA
3790,1,SVA
3791,1,SVA
3792,1,SVA
3793,1,SVA
3794,1,SVA
3795,1,SVA
3796,1,SVA
3797,1,SVA
3798,1,SVA
3799,1,SVA
3800,1,SVA
3801,1,SVA
3802,1,SVA
3803,1,SVA
3804,1,SVA
3805,1,SVA
3806,1,SVA
3807,1,SVA
3808,1,SVA
3809,1,SVA
3810,1,SVA
3811,1,SVA
3812,1,SVA
3813,1,SVA
3814,1,SVA
3815,1,SVA
3816,1,SVA
3817,1,SVA
3818,1,SVA
3819,1,SVA
3820,1,SVA
3821,1,SVA
3822,1,SVA
3823,1,SVA
3824,1,SVA
3825,1,SVA
3826,1,SVA
3827,1,SVA
3828,1,SVA
3829,1,SVA
3830,1,SVA
3831,1,SVA
3832,1,SVA
3833,1,SVA
3834,1,SVA
3835,1,SVA
3836,1,SVA
3837,1,SVA
3838,1,SVA
3839,1,SVA
3840,1,SVA
3841,1,SVA
3842,1,SVA
3843,1,SVA
3844,1,SVA
3845,1,SVA
3846,1,SVA
3847,1,SVA
3848,1,SVA
3849,1,SVA
3850,1,SVA
3851,1,SVA
